Date,Close/Last,Volume,Open,High,Low
03/03/2016,$80.30,475594,$79.15,$80.54,$79.15
03/02/2016,$79.26,381209,$78.74,$79.59,$78.48
03/01/2016,$78.95,727560,$77.97,$79.24,$77.44
02/29/2016,$77.44,564842,$78.43,$78.815,$77.32
02/26/2016,$78.41,337518,$78.23,$78.78,$77.46
02/25/2016,$77.44,608704,$77.78,$77.97,$76.90
02/24/2016,$77.49,695286,$75.34,$77.61,$74.97
02/23/2016,$76.37,668822,$77.58,$77.98,$76.06
02/22/2016,$78.20,613164,$77.62,$79.37,$77.48
02/19/2016,$76.99,621444,$76.53,$77.92,$76.31
02/18/2016,$77.24,728731,$76.10,$77.50,$75.84
02/17/2016,$75.77,519179,$75.85,$76.26,$75.14
02/16/2016,$75.07,741838,$73.94,$75.29,$73.34
02/12/2016,$72.74,511219,$71.52,$73.445,$71.40
02/11/2016,$70.33,897128,$71.35,$71.90,$69.66
